Index,Date,Sentiment
146,2018-05-20 9:00,3
147,2018-05-21 9:00,1.875
148,2018-05-22 9:00,2.5
149,2018-05-23 9:00,2.125
150,2018-05-24 9:00,3.222222222
151,2018-05-25 9:00,1
152,2018-05-26 9:00,5
153,2018-05-27 9:00,1.75
154,2018-05-28 9:00,2.6
155,2018-05-29 9:00,2.2
156,2018-05-30 9:00,2.545454545
157,2018-05-31 9:00,3.444444444
158,2018-06-01 9:00,1
159,2018-06-03 9:00,2.857142857
160,2018-06-04 9:00,2.642857143
161,2018-06-05 9:00,2.647058824
162,2018-06-06 9:00,3.461538462
163,2018-06-07 9:00,2
164,2018-06-08 9:00,2.76863313
165,2018-06-09 9:00,1
166,2018-06-10 9:00,2.333333333
167,2018-06-11 9:00,2.857142857
168,2018-06-12 9:00,3.45
169,2018-06-13 9:00,2.181818182
170,2018-06-14 9:00,3.222222222
171,2018-06-15 9:00,2.92
172,2018-06-18 9:00,2.75
173,2018-06-19 9:00,2.888888889
174,2018-06-20 9:00,3.1
175,2018-06-21 9:00,2.705882353
176,2018-06-22 9:00,1
177,2018-06-23 9:00,3.5
178,2018-06-24 9:00,2.714285714
179,2018-06-25 9:00,3.052631579
180,2018-06-26 9:00,2.695652174
181,2018-06-27 9:00,3.571428571
182,2018-06-28 9:00,2.428571429
183,2018-06-29 9:00,2.76863313
184,2018-06-30 9:00,2.76863313
185,2018-07-01 9:00,2.636363636
186,2018-07-02 9:00,2.416666667
187,2018-07-03 9:00,2.916666667
188,2018-07-04 9:00,2.1875
189,2018-07-05 9:00,2.875
190,2018-07-06 9:00,2.5
191,2018-07-08 9:00,2.85
192,2018-07-09 9:00,2.15
193,2018-07-10 9:00,2.777777778
194,2018-07-11 9:00,3.125
195,2018-07-12 9:00,3.230769231
196,2018-07-13 9:00,4.5
197,2018-07-14 9:00,2.76863313
198,2018-07-15 9:00,2.894736842
199,2018-07-16 9:00,2.52173913
200,2018-07-17 9:00,3.133333333
201,2018-07-18 9:00,3.25
202,2018-07-19 9:00,3.5
203,2018-07-20 9:00,2.76863313
204,2018-07-21 9:00,4
205,2018-07-22 9:00,2.769230769
206,2018-07-23 9:00,2.434782609
207,2018-07-24 9:00,3.35
208,2018-07-25 9:00,2.375
209,2018-07-26 9:00,2.611111111
210,2018-07-27 9:00,2.333333333
211,2018-07-28 9:00,3.5
212,2018-07-29 9:00,2.72
213,2018-07-30 9:00,2.454545455
214,2018-07-31 9:00,3.3
215,2018-08-01 9:00,2.090909091
216,2018-08-02 9:00,2.076923077
217,2018-08-03 9:00,4
218,2018-08-04 9:00,2
219,2018-08-05 9:00,2.714285714
220,2018-08-06 9:00,2.3
221,2018-08-07 9:00,2.791666667
222,2018-08-08 9:00,2.75
223,2018-08-09 9:00,2.55
224,2018-08-10 9:00,2.5
225,2018-08-11 9:00,3.666666667
226,2018-08-12 9:00,2.166666667
227,2018-08-13 9:00,2.52
228,2018-08-14 9:00,2.888888889
229,2018-08-15 9:00,3.571428571
230,2018-08-16 9:00,3.071428571
231,2018-08-17 9:00,1.6
232,2018-08-18 9:00,2.76863313
233,2018-08-19 9:00,2.428571429
234,2018-08-20 9:00,2
235,2018-08-21 9:00,2.214285714
236,2018-08-22 9:00,2.470588235
237,2018-08-23 9:00,2.8
238,2018-08-24 9:00,2.76863313
239,2018-08-25 9:00,3
240,2018-08-27 9:00,2
241,2018-08-28 9:00,3.25
242,2018-08-29 9:00,3.8
243,2018-08-30 9:00,2.8
244,2018-08-31 9:00,2.76863313
245,2018-09-01 9:00,5
246,2018-09-02 9:00,2.363636364
247,2018-09-03 9:00,1.428571429
248,2018-09-04 9:00,2.392857143
249,2018-09-05 9:00,3
250,2018-09-06 9:00,2.714285714
251,2018-09-07 9:00,2.5
252,2018-09-08 9:00,5
253,2018-09-09 9:00,2.916666667
254,2018-09-10 9:00,2.7
255,2018-09-11 9:00,3.1
256,2018-09-12 9:00,3.636363636
